start_year,tract_2010,parcels,foreclosures,foreclosures_per_1k
1998,55079016500,411,6,14.598540145985401
1998,55079016600,313,1,3.1948881789137378
1998,55079016700,451,3,6.651884700665189
1998,55079016800,490,3,6.122448979591836
1998,55079016900,637,5,7.849293563579277
1998,55079017000,960,5,5.208333333333333
1998,55079017100,484,1,2.066115702479339
1998,55079017200,469,1,2.1321961620469083
1998,55079017300,672,6,8.928571428571429
1998,55079017400,418,3,7.177033492822967
1998,55079017500,612,3,4.901960784313726
1998,55079017600,438,6,13.698630136986301
1998,55079017900,682,3,4.398826979472141
1998,55079018300,632,2,3.1645569620253164
1998,55079018400,443,2,4.514672686230248
1998,55079018500,605,1,1.6528925619834711
1998,55079018600,466,2,4.291845493562231
1998,55079018700,542,1,1.8450184501845017
1998,55079018800,346,1,2.890173410404624
1998,55079018900,368,2,5.434782608695652
1998,55079019000,1352,2,1.4792899408284024
1998,55079019100,613,1,1.6313213703099512
1998,55079019200,1146,2,1.7452006980802792
1998,55079019300,969,1,1.0319917440660473
1998,55079019500,1019,1,0.9813542688910696
1998,55079019600,999,2,2.002002002002002
1998,55079019700,1332,2,1.5015015015015014
1998,55079019800,1594,2,1.2547051442910915
1998,55079019900,995,1,1.0050251256281408
1998,55079020100,709,1,1.4104372355430184
1998,55079020200,955,2,2.0942408376963355
1998,55079020300,1123,3,2.6714158504007126
1998,55079020400,627,2,3.189792663476874
1998,55079020500,638,1,1.567398119122257
1998,55079020600,1246,3,2.407704654895666
1998,55079020800,1039,4,3.8498556304138596
1998,55079020900,828,4,4.830917874396135
1998,55079021000,779,1,1.2836970474967906
1998,55079021100,523,1,1.9120458891013383
1998,55079021200,467,1,2.1413276231263385
1998,55079021600,1235,1,0.8097165991902834
1998,55079021700,1875,2,1.0666666666666667
1998,55079021800,468,1,2.136752136752137
1998,55079185400,401,1,2.493765586034913
1998,55079185500,323,2,6.191950464396285
1998,55079185600,354,5,14.124293785310734
1998,55079185700,455,3,6.593406593406593
1998,55079185800,324,1,3.0864197530864197
1998,55079185900,188,1,5.319148936170213
1998,55079186100,283,2,7.067137809187279
1998,55079186200,214,1,4.672897196261682
1998,55079186500,301,1,3.3222591362126246
1998,55079186600,401,3,7.481296758104738
1999,55079000101,604,4,6.622516556291391
1999,55079000102,935,3,3.2085561497326203
1999,55079000201,873,20,22.909507445589917
1999,55079000202,1181,2,1.6934801016088061
1999,55079000301,658,1,1.5197568389057752
1999,55079000302,434,20,46.082949308755765
1999,55079000304,1010,1,0.9900990099009901
1999,55079000400,370,1,2.7027027027027026
1999,55079000501,735,2,2.7210884353741496
1999,55079000502,456,5,10.964912280701753
1999,55079000600,1455,4,2.7491408934707904
1999,55079000700,966,5,5.175983436853002
1999,55079000800,1185,2,1.6877637130801688
1999,55079000900,651,2,3.0721966205837172
1999,55079001000,987,6,6.079027355623101
1999,55079001100,517,7,13.539651837524179
1999,55079001200,472,15,31.779661016949152
1999,55079001300,907,6,6.615214994487321
1999,55079001400,327,1,3.058103975535168
1999,55079001500,600,8,13.333333333333334
1999,55079001600,606,3,4.9504950495049505
1999,55079001700,954,5,5.241090146750524
1999,55079001800,581,6,10.327022375215147
1999,55079001900,842,6,7.125890736342043
1999,55079002000,713,8,11.220196353436185
1999,55079002100,570,6,10.526315789473683
1999,55079002200,574,3,5.226480836236934
1999,55079002300,1133,8,7.06090026478376
1999,55079002400,534,11,20.599250936329586
1999,55079002500,555,13,23.423423423423422
1999,55079002600,837,14,16.726403823178018
1999,55079002700,621,7,11.272141706924316
1999,55079002800,575,9,15.65217391304348
1999,55079002900,663,5,7.541478129713424
1999,55079003000,1198,7,5.843071786310517
1999,55079003100,1050,5,4.761904761904763
1999,55079003200,846,1,1.1820330969267139
1999,55079003300,1145,6,5.240174672489083
1999,55079003400,1426,1,0.7012622720897616
1999,55079003500,1046,7,6.692160611854685
1999,55079003600,544,5,9.191176470588236
1999,55079003700,777,3,3.8610038610038613
1999,55079003800,671,11,16.393442622950822
1999,55079003900,783,7,8.939974457215836
1999,55079004000,541,10,18.48428835489834
1999,55079004100,807,9,11.152416356877323
1999,55079004200,693,14,20.202020202020204
1999,55079004300,1471,12,8.157715839564922
1999,55079004400,463,13,28.077753779697623
1999,55079004500,650,7,10.769230769230768
1999,55079004600,766,8,10.443864229765014
1999,55079004700,1086,15,13.812154696132596
1999,55079004800,1004,16,15.936254980079681
1999,55079004900,1203,9,7.481296758104738
1999,55079005100,731,5,6.839945280437757
1999,55079005200,572,2,3.4965034965034967
1999,55079005300,709,2,2.8208744710860367
1999,55079005400,1373,2,1.4566642388929352
1999,55079005500,1209,1,0.8271298593879239
1999,55079005800,967,3,3.102378490175801
1999,55079005900,912,6,6.578947368421052
1999,55079006000,521,7,13.435700575815739
1999,55079006100,568,4,7.042253521126761
1999,55079006200,586,11,18.77133105802048
1999,55079006300,616,15,24.350649350649352
1999,55079006400,616,12,19.48051948051948
1999,55079006500,658,11,16.717325227963524
1999,55079006600,812,17,20.935960591133004
1999,55079006700,341,5,14.66275659824047
1999,55079006800,669,9,13.45291479820628
1999,55079006900,547,12,21.937842778793417
1999,55079007000,615,12,19.51219512195122
1999,55079007100,477,3,6.289308176100629
1999,55079007200,778,3,3.8560411311053984
1999,55079007400,424,1,2.3584905660377355
1999,55079007900,395,2,5.063291139240507
1999,55079008000,424,2,4.716981132075471
1999,55079008100,292,6,20.54794520547945
1999,55079008400,328,4,12.195121951219512
1999,55079008500,296,3,10.135135135135135
