start_year,neighborhood,parcels,foreclosures,foreclosures_per_1k
1997,ROOSEVELT GROVE,1476,18,12.195121951219512
1997,ROOT CREEK,480,0,0
1997,RUFUS KING,1362,7,5.139500734214391
1997,SAINT JOSEPH,1632,8,4.901960784313726
1997,SAVELAND PARK,587,0,0
1997,SERVITE WOODS,403,2,4.962779156327543
1997,SHERMAN PARK,1673,27,16.138673042438732
1997,SILVER CITY,793,6,7.566204287515763
1997,SILVER SPRING,2463,14,5.684125050751117
1997,SILVER SWAN,397,3,7.556675062972292
1997,SOUTHGATE,474,0,0
1997,SOUTHPOINT,536,0,0
1997,ST. AMELIAN'S,581,0,0
1997,STORY HILL,513,0,0
1997,SUNSET HEIGHTS,1240,3,2.4193548387096775
1997,THE VALLEY / PIGSVILLE,157,0,0
1997,THURSTON WOODS,1169,8,6.8434559452523525
1997,TIMMERMAN AIRPORT,51,0,0
1997,TIMMERMAN WEST,956,0,0
1997,TIPPECANOE,2002,1,0.4995004995004995
1997,TOWN & COUNTRY MANOR,606,4,6.600660066006601
1997,TOWN OF LAKE,1860,1,0.5376344086021505
1997,TRIANGLE,111,2,18.01801801801802
1997,TRIANGLE NORTH,207,1,4.830917874396135
1997,TRIPOLI PARK,236,0,0
1997,UPPER EAST SIDE,840,1,1.1904761904761907
1997,UPTOWN,1418,19,13.399153737658674
1997,VALHALLA,562,0,0
1997,VALLEY FORGE,54,0,0
1997,VETERANS AFFAIRS,1,0,0
1997,VOGEL PARK,370,2,5.405405405405405
1997,WAHL PARK,847,7,8.264462809917356
1997,WALKER'S POINT,1194,8,6.700167504187605
1997,WALNUT HILL,490,17,34.69387755102041
1997,WASHINGTON HEIGHTS,1988,6,3.0181086519114686
1997,WASHINGTON PARK,1094,65,59.41499085923217
1997,WEDGEWOOD,477,0,0
1997,WEST VIEW,369,1,2.710027100271003
1997,WHISPERING HILLS,213,1,4.694835680751174
1997,WHITE MANOR,580,1,1.7241379310344827
1997,WICK FIELD,160,0,0
1997,WILLIAMSBURG,612,10,16.339869281045754
1997,WILSON PARK,635,1,1.574803149606299
1997,WOODLAND COURT,135,0,0
1997,WOODLANDS,625,12,19.2
1997,WYRICK PARK,236,2,8.474576271186441
1997,YANKEE HILL,166,1,6.024096385542169
1998,ALCOTT PARK,481,0,0
1998,ALVERNO,52,0,0
1998,AMANI,1628,18,11.056511056511056
1998,ARLINGTON GARDENS,736,0,0
1998,ARLINGTON HEIGHTS,1228,9,7.328990228013029
1998,AVENUES WEST,266,1,3.7593984962406015
1998,BARAN PARK,87,1,11.494252873563218
1998,BAY VIEW,4973,8,1.6086869093102756
1998,BLUEMOUND HEIGHTS,977,1,1.0235414534288638
1998,BORCHERT FIELD,1016,6,5.905511811023622
1998,BRADLEY ESTATES,966,13,13.457556935817806
1998,BREWER'S HILL,337,2,5.934718100890208
1998,BUCHEL PARK,13,0,0
1998,BURNHAM PARK,1334,3,2.2488755622188905
1998,CALUMET FARMS,246,0,0
1998,CAMBRIDGE HEIGHTS,473,0,0
1998,CANNON PARK,428,0,0
1998,CAPITOL HEIGHTS,1649,12,7.277137659187386
1998,CASTLE MANOR,707,0,0
1998,CLARKE SQUARE,992,9,9.072580645161292
1998,CLAYTON CREST,531,1,1.8832391713747645
1998,CLOCK TOWER ACRES,294,3,10.204081632653061
1998,COLD SPRING PARK,274,4,14.598540145985401
1998,COLLEGE HEIGHTS,373,0,0
1998,COLUMBUS PARK,1118,1,0.8944543828264758
1998,CONCORDIA,176,1,5.681818181818182
1998,COOPER PARK,1209,1,0.8271298593879239
1998,COPERNICUS PARK,474,2,4.219409282700422
1998,DINEEN PARK,908,4,4.405286343612335
1998,DOWNER WOODS,635,0,0
1998,DRETZKA PARK,13,0,0
1998,ENDERIS PARK,918,4,4.357298474945535
1998,ESTABROOK PARK,9,0,0
1998,EUCLID PARK,431,0,0
1998,FAIR PARK,421,0,0
1998,FAIRFIELD,332,2,6.024096385542169
1998,FAIRVIEW,1380,1,0.7246376811594203
1998,FERNWOOD,1047,4,3.8204393505253105
1998,FLORIST HIGHLANDS,264,0,0
1998,FOREST HOME HILLS,769,4,5.201560468140443
1998,FRANKLIN HEIGHTS,2214,18,8.130081300813009
1998,FREEDOM VILLAGE,14,0,0
1998,GARDEN HOMES,599,7,11.686143572621035
1998,GOLDEN GATE,266,0,0
1998,GOLDEN VALLEY,1060,0,0
1998,GOLDMAN PARK,524,0,0
1998,GRA-RAM,478,1,2.092050209205021
1998,GRACELAND,780,4,5.128205128205129
1998,GRANTOSA,357,0,0
