start_year,tract_2020,privately_owned_parcels,foreclosures,foreclosures_per_1k
1998,55079008700,350,5,14.285714285714285
1998,55079008800,459,4,8.71459694989107
1998,55079008900,342,3,8.771929824561402
1998,55079009000,482,15,31.12033195020747
1998,55079009100,556,8,14.388489208633095
1998,55079009200,368,8,21.73913043478261
1998,55079009300,726,2,2.7548209366391188
1998,55079009400,751,2,2.663115845539281
1998,55079009600,504,5,9.920634920634921
1998,55079009700,316,3,9.49367088607595
1998,55079009800,285,8,28.070175438596493
1998,55079009900,330,4,12.121212121212121
1998,55079010600,270,1,3.7037037037037037
1998,55079010700,407,2,4.914004914004914
1998,55079011200,287,1,3.484320557491289
1998,55079012200,439,6,13.66742596810934
1998,55079012300,169,1,5.9171597633136095
1998,55079012400,633,4,6.3191153238546605
1998,55079012600,709,1,1.4104372355430184
1998,55079013000,479,1,2.08768267223382
1998,55079013300,296,4,13.513513513513514
1998,55079013400,343,4,11.661807580174926
1998,55079013600,170,3,17.647058823529413
1998,55079013700,121,2,16.528925619834713
1998,55079014800,84,1,11.904761904761903
1998,55079014900,105,1,9.5238095238095255
1998,55079015700,474,2,4.219409282700422
1998,55079015800,406,2,4.926108374384237
1998,55079015900,497,1,2.012072434607646
1998,55079016000,497,2,4.024144869215292
1998,55079016100,620,1,1.6129032258064515
1998,55079016200,543,9,16.574585635359114
1998,55079016300,788,5,6.345177664974619
1998,55079016400,680,4,5.88235294117647
1998,55079016500,410,6,14.634146341463415
1998,55079016600,312,1,3.205128205128205
1998,55079016700,451,3,6.651884700665189
1998,55079016800,490,3,6.122448979591836
1998,55079016900,632,5,7.9113924050632916
1998,55079017000,963,5,5.192107995846314
1998,55079017100,484,1,2.066115702479339
1998,55079017200,492,1,2.032520325203252
1998,55079017300,671,6,8.941877794336811
1998,55079017400,418,3,7.177033492822967
1998,55079017500,612,3,4.901960784313726
1998,55079017600,438,6,13.698630136986301
1998,55079017900,675,3,4.444444444444445
1998,55079018300,660,2,3.0303030303030303
1998,55079018400,422,2,4.739336492890995
1998,55079018500,605,1,1.6528925619834711
1998,55079018600,466,2,4.291845493562231
1998,55079018700,542,1,1.8450184501845017
