year_end,tract_2020,parcels,city_owned
1994,55079019600,999,0
1994,55079019700,1330,0
1994,55079019800,1595,0
1994,55079019900,1008,0
1994,55079020000,635,0
1994,55079020100,710,0
1994,55079020200,955,0
1994,55079020300,1122,0
1994,55079020400,626,0
1994,55079020500,639,0
1994,55079020600,1246,0
1994,55079020700,1416,0
1994,55079020800,1060,0
1994,55079020900,824,0
1994,55079021000,778,0
1994,55079021100,523,0
1994,55079021200,467,0
1994,55079021300,311,0
1994,55079021400,412,0
1994,55079021500,885,0
1994,55079021600,1231,0
1994,55079021700,1868,0
1994,55079021800,475,0
1994,55079060200,17,0
1994,55079090100,3,0
1994,55079090200,14,0
1994,55079091000,3,0
1994,55079091300,11,0
1994,55079091400,10,0
1994,55079101600,6,0
1994,55079120300,4,0
1994,55079120400,16,0
1994,55079120502,3,0
1994,55079185100,1,0
1994,55079185200,7,0
1994,55079185400,436,6
1994,55079185500,329,2
1994,55079185600,360,0
1994,55079185700,478,4
1994,55079185800,334,7
1994,55079185900,211,4
1994,55079186000,79,3
1994,55079186100,286,0
1994,55079186200,219,1
1994,55079186400,3,0
1994,55079186500,306,1
1994,55079186600,403,0
1994,55079186800,68,0
1994,55079186900,6,0
1994,55079187000,438,0
1994,55079187400,1,0
1995,55079000101,602,0
1995,55079000102,932,0
1995,55079000201,869,0
1995,55079000202,1152,0
1995,55079000301,647,0
1995,55079000302,394,0
1995,55079000303,453,0
1995,55079000304,990,0
1995,55079000400,370,0
1995,55079000501,733,0
1995,55079000502,455,0
1995,55079000600,1466,0
1995,55079000700,969,0
1995,55079000800,1184,0
1995,55079000900,656,0
1995,55079001000,984,0
1995,55079001100,516,1
1995,55079001200,470,0
1995,55079001300,906,1
1995,55079001400,327,0
1995,55079001500,601,0
1995,55079001600,606,0
1995,55079001700,957,1
1995,55079001800,580,0
1995,55079001900,845,0
1995,55079002000,713,0
1995,55079002100,574,0
1995,55079002200,577,1
1995,55079002300,1133,2
1995,55079002400,537,2
1995,55079002500,555,0
1995,55079002600,840,6
1995,55079002700,624,0
