year_end,tract_2010,parcels
1993,55079007500,723
1993,55079007600,374
1993,55079007700,487
1993,55079007800,549
1993,55079007900,392
1993,55079008000,429
1993,55079008100,313
1993,55079008400,361
1993,55079008500,316
1993,55079008600,386
1993,55079008700,401
1993,55079008800,504
1993,55079008900,405
1993,55079009000,531
1993,55079009100,571
1993,55079009200,370
1993,55079009300,725
1993,55079009400,750
1993,55079009500,625
1993,55079009600,552
1993,55079009700,335
1993,55079009800,340
1993,55079009900,406
1993,55079010600,275
1993,55079010700,412
1993,55079010800,243
1993,55079011000,318
1993,55079011100,117
1993,55079011200,301
1993,55079011300,118
1993,55079011400,90
1993,55079012200,462
1993,55079012300,188
1993,55079012400,632
1993,55079012500,559
1993,55079012600,699
1993,55079012700,427
1993,55079012800,626
1993,55079012900,912
1993,55079013000,493
1993,55079013300,296
1993,55079013400,352
1993,55079013500,52
1993,55079013600,169
1993,55079013700,120
1993,55079014300,227
1993,55079014400,21
1993,55079014600,78
1993,55079014700,69
1993,55079014800,81
1993,55079014900,124
1993,55079015700,489
1993,55079015800,408
1993,55079015900,498
1993,55079016000,497
1993,55079016100,616
1993,55079016200,539
1993,55079016300,790
1993,55079016400,682
1993,55079016500,431
1993,55079016600,324
1993,55079016700,448
1993,55079016800,493
1993,55079016900,636
1993,55079017000,964
1993,55079017100,483
1993,55079017200,468
1993,55079017300,671
1993,55079017400,420
1993,55079017500,617
1993,55079017600,435
1993,55079017900,684
1993,55079018000,655
1993,55079018100,703
1993,55079018200,535
1993,55079018300,635
1993,55079018400,440
1993,55079018500,603
1993,55079018600,462
1993,55079018700,543
1993,55079018800,345
1993,55079018900,368
1993,55079019000,1352
1993,55079019100,612
1993,55079019200,1146
1993,55079019300,969
1993,55079019400,800
1993,55079019500,1014
1993,55079019600,999
1993,55079019700,1330
1993,55079019800,1594
1993,55079019900,994
1993,55079020000,622
1993,55079020100,710
1993,55079020200,955
1993,55079020300,1123
1993,55079020400,626
1993,55079020500,643
1993,55079020600,1246
1993,55079020700,1401
1993,55079020800,1040
1993,55079020900,823
1993,55079021000,779
1993,55079021100,523
1993,55079021200,467
1993,55079021300,310
1993,55079021400,412
1993,55079021500,885
1993,55079021600,1229
1993,55079021700,1867
1993,55079021800,468
1993,55079060200,19
1993,55079080400,2
1993,55079090200,12
1993,55079091000,22
1993,55079091300,9
1993,55079091400,7
1993,55079101600,10
1993,55079110100,23
1993,55079120300,12
1993,55079120400,33
1993,55079120502,10
1993,55079185100,8
1993,55079185200,22
1993,55079185400,439
1993,55079185500,347
1993,55079185600,369
1993,55079185700,479
1993,55079185800,344
1993,55079185900,215
1993,55079186000,79
1993,55079186100,285
1993,55079186200,212
1993,55079186400,3
1993,55079186500,313
1993,55079186600,404
1993,55079186800,69
1993,55079186900,69
1993,55079187000,385
1993,55079187400,1
1993,55079980000,14
1994,55079000101,602
1994,55079000102,930
1994,55079000201,869
1994,55079000202,1140
1994,55079000301,635
1994,55079000302,389
1994,55079000303,450
1994,55079000304,1004
1994,55079000400,371
1994,55079000501,733
1994,55079000502,458
1994,55079000600,1452
1994,55079000700,971
1994,55079000800,1184
1994,55079000900,655
1994,55079001000,986
1994,55079001100,516
1994,55079001200,470
1994,55079001300,906
1994,55079001400,327
1994,55079001500,601
1994,55079001600,606
1994,55079001700,957
1994,55079001800,580
1994,55079001900,845
1994,55079002000,713
1994,55079002100,573
1994,55079002200,574
1994,55079002300,1133
1994,55079002400,539
1994,55079002500,555
1994,55079002600,840
1994,55079002700,624
1994,55079002800,577
1994,55079002900,662
1994,55079003000,1197
1994,55079003100,1051
1994,55079003200,847
1994,55079003300,1144
1994,55079003400,1423
1994,55079003500,1045
1994,55079003600,545
1994,55079003700,776
1994,55079003800,676
1994,55079003900,783
1994,55079004000,543
1994,55079004100,807
1994,55079004200,692
1994,55079004300,1466
1994,55079004400,470
1994,55079004500,652
1994,55079004600,770
1994,55079004700,1086
1994,55079004800,1008
1994,55079004900,1202
1994,55079005000,1370
1994,55079005100,729
1994,55079005200,571
1994,55079005300,707
1994,55079005400,1371
1994,55079005500,1209
1994,55079005600,778
1994,55079005700,857
1994,55079005800,968
1994,55079005900,916
1994,55079006000,521
1994,55079006100,571
1994,55079006200,597
1994,55079006300,647
1994,55079006400,662
1994,55079006500,678
1994,55079006600,854
1994,55079006700,364
1994,55079006800,694
1994,55079006900,574
1994,55079007000,636
1994,55079007100,478
1994,55079007200,779
1994,55079007300,544
1994,55079007400,422
1994,55079007500,721
1994,55079007600,374
1994,55079007700,487
1994,55079007800,549
1994,55079007900,392
1994,55079008000,427
1994,55079008100,312
1994,55079008400,356
1994,55079008500,313
1994,55079008600,370
1994,55079008700,389
1994,55079008800,497
1994,55079008900,396
1994,55079009000,522
1994,55079009100,568
1994,55079009200,369
1994,55079009300,724
1994,55079009400,750
1994,55079009500,625
1994,55079009600,551
1994,55079009700,335
1994,55079009800,331
1994,55079009900,389
1994,55079010600,272
1994,55079010700,412
1994,55079010800,236
1994,55079011000,319
1994,55079011100,117
1994,55079011200,299
1994,55079011300,118
1994,55079011400,90
1994,55079012200,458
1994,55079012300,179
1994,55079012400,632
1994,55079012500,559
1994,55079012600,699
1994,55079012700,426
1994,55079012800,627
1994,55079012900,911
1994,55079013000,493
1994,55079013300,294
1994,55079013400,353
1994,55079013500,54
1994,55079013600,167
1994,55079013700,119
1994,55079014300,227
1994,55079014400,21
1994,55079014600,78
1994,55079014700,71
1994,55079014800,82
1994,55079014900,118
1994,55079015700,485
1994,55079015800,406
1994,55079015900,495
1994,55079016000,497
1994,55079016100,618
1994,55079016200,541
1994,55079016300,789
1994,55079016400,682
1994,55079016500,427
1994,55079016600,322
1994,55079016700,450
1994,55079016800,492
1994,55079016900,636
1994,55079017000,961
1994,55079017100,483
1994,55079017200,469
1994,55079017300,671
1994,55079017400,419
1994,55079017500,614
1994,55079017600,437
1994,55079017900,682
1994,55079018000,658
1994,55079018100,703
1994,55079018200,535
1994,55079018300,632
1994,55079018400,440
1994,55079018500,603
1994,55079018600,463
1994,55079018700,542
1994,55079018800,346
1994,55079018900,368
1994,55079019000,1352
1994,55079019100,612
1994,55079019200,1146
1994,55079019300,969
1994,55079019400,800
1994,55079019500,1015
1994,55079019600,999
1994,55079019700,1330
1994,55079019800,1595
1994,55079019900,994
1994,55079020000,622
1994,55079020100,710
1994,55079020200,955
1994,55079020300,1122
1994,55079020400,626
1994,55079020500,639
1994,55079020600,1246
1994,55079020700,1401
1994,55079020800,1040
1994,55079020900,824
